Delay,mean h_score,std h_score,median h_score,size
1 hour-1,0.002508333333333333,0.004414863804123928,0.0004,120
1 hour-2,0.013199999999999995,0.02671717789993376,0.0006000000000000001,80
1 week-1,0.0002105263157894737,0.0005028510464983026,0.0,38
1 week-2,0.018716814159292022,0.036780358943946045,0.0018000000000000002,113
2 days-1,0.0002315789473684211,0.0006489436181586753,0.0,57
2 days-2,0.013074666666666668,0.019985502132683467,0.0004,75
24 hours-1,0.003311111111111111,0.0063690381114141935,0.0,45
24 hours-2,0.013473076923076921,0.028415967857449077,0.0012000000000000001,104
4 days-1,0.004546666666666667,0.006655469384444101,0.0006000000000000001,45
4 days-2,0.0034201834862385293,0.010124043437361212,0.0,109
4 hours-1,0.0020051282051282058,0.004683787756323807,0.0,39
4 hours-2,0.0038409638554216877,0.00800863917895404,0.0002,83
